timestamp,pca_abbrev,load_mw,source
2017-07-06 21:00:00,CL,6328,CL
2017-07-07 21:00:00,CL,6285,CL
2017-07-08 21:00:00,CL,5860,CL
2017-07-09 21:00:00,CL,5745,CL
2017-07-10 21:00:00,CL,6206,CL
2017-07-11 21:00:00,CL,6126,CL
2017-07-12 21:00:00,CL,6177,CL
2017-07-13 21:00:00,CL,6259,CL
2017-07-14 21:00:00,CL,6459,CL
2017-07-15 21:00:00,CL,5870,CL
2017-07-16 21:00:00,CL,5934,CL
2017-07-17 21:00:00,CL,6241,CL
2017-07-18 21:00:00,CL,6255,CL
2017-07-19 21:00:00,CL,6067,CL
2017-07-20 21:00:00,CL,6145,CL
2017-07-21 21:00:00,CL,6114,CL
2017-07-22 21:00:00,CL,5774,CL
2017-07-23 21:00:00,CL,5713,CL
2017-07-24 21:00:00,CL,6157,CL
2017-07-25 21:00:00,CL,6101,CL
2017-07-26 21:00:00,CL,6045,CL
2017-07-27 21:00:00,CL,6055,CL
2017-07-28 21:00:00,CL,6154,CL
2017-07-29 21:00:00,CL,5917,CL
2017-07-30 21:00:00,CL,5646,CL
2017-07-31 21:00:00,CL,6066,CL
2017-08-01 21:00:00,CL,6170,CL
2017-08-02 21:00:00,CL,6044,CL
2017-08-03 21:00:00,CL,5942,CL
2017-08-04 21:00:00,CL,6236,CL
2017-08-05 21:00:00,CL,5851,CL
2017-08-06 21:00:00,CL,5645,CL
2017-08-07 21:00:00,CL,6047,CL
2017-08-08 21:00:00,CL,5949,CL
2017-08-09 21:00:00,CL,6055,CL
2017-08-10 21:00:00,CL,6058,CL
2017-08-11 21:00:00,CL,6291,CL
2017-08-12 20:00:00,CL,6,CL
2017-08-13 20:00:00,CL,5827,CL
2017-08-14 20:00:00,CL,5877,CL
2017-08-15 20:00:00,CL,5803,CL
2017-08-16 20:00:00,CL,5987,CL
2017-08-17 20:00:00,CL,5941,CL
2017-08-18 20:00:00,CL,6304,CL
2017-08-19 20:00:00,CL,5953,CL
2017-08-20 20:00:00,CL,5750,CL
2017-08-21 20:00:00,CL,6018,CL
2017-08-22 20:00:00,CL,5976,CL
2017-08-23 20:00:00,CL,5973,CL
2017-08-24 20:00:00,CL,6068,CL
2017-08-25 20:00:00,CL,6286,CL
2017-08-26 20:00:00,CL,5884,CL
2017-08-27 20:00:00,CL,5728,CL
2017-08-28 20:00:00,CL,6189,CL
2017-08-29 20:00:00,CL,6217,CL
2017-08-30 20:00:00,CL,6098,CL
2017-08-31 20:00:00,CL,6057,CL
2017-09-01 20:00:00,CL,6274,CL
2017-09-02 20:00:00,CL,5718,CL
2017-09-03 20:00:00,CL,5711,CL
2017-09-04 20:00:00,CL,5964,CL
2017-09-05 20:00:00,CL,5893,CL
2017-09-06 20:00:00,CL,5877,CL
2017-09-07 20:00:00,CL,5777,CL
2017-09-08 20:00:00,CL,6075,CL
2017-09-09 20:00:00,CL,5758,CL
2017-09-10 20:00:00,CL,5740,CL
2017-09-11 20:00:00,CL,5788,CL
2017-09-12 20:00:00,CL,5970,CL
2017-09-13 20:00:00,CL,5971,CL
2017-09-14 20:00:00,CL,6079,CL
2017-09-15 20:00:00,CL,5755,CL
2017-09-16 20:00:00,CL,5372,CL
2017-09-17 20:00:00,CL,5144,CL
2017-09-18 20:00:00,CL,5158,CL
2017-09-19 20:00:00,CL,5208,CL
2017-09-20 20:00:00,CL,5768,CL
2017-09-21 20:00:00,CL,5846,CL
2017-09-22 20:00:00,CL,5882,CL
2017-09-23 20:00:00,CL,5488,CL
2017-09-24 20:00:00,CL,5383,CL
2017-09-25 20:00:00,CL,5694,CL
2017-09-26 20:00:00,CL,5663,CL
2017-09-27 20:00:00,CL,5698,CL
2017-09-28 20:00:00,CL,5819,CL
2017-09-29 20:00:00,CL,5819,CL
2017-09-30 20:00:00,CL,5658,CL
2017-10-01 20:00:00,CL,5390,CL
2017-10-02 20:00:00,CL,5796,CL
2017-10-03 20:00:00,CL,5733,CL
2017-10-04 20:00:00,CL,5755,CL
2017-10-05 20:00:00,CL,5871,CL
2017-10-06 20:00:00,CL,5874,CL
2017-10-07 20:00:00,CL,5520,CL
2017-10-08 20:00:00,CL,5386,CL
2017-10-09 20:00:00,CL,5407,CL
2017-10-10 20:00:00,CL,5832,CL
2017-10-11 20:00:00,CL,5810,CL
2017-10-12 20:00:00,CL,5782,CL
2017-10-13 20:00:00,CL,5849,CL
2017-10-14 20:00:00,CL,5316,CL
2017-10-15 20:00:00,CL,5287,CL
2017-10-16 20:00:00,CL,5638,CL
2017-10-17 20:00:00,CL,5596,CL
2017-10-18 20:00:00,CL,5619,CL
2017-10-19 20:00:00,CL,5662,CL
2017-10-20 20:00:00,CL,5818,CL
2017-10-21 20:00:00,CL,5287,CL
2017-10-22 20:00:00,CL,5330,CL
2017-10-23 20:00:00,CL,5766,CL
2017-10-24 20:00:00,CL,5810,CL
2017-10-25 20:00:00,CL,5773,CL
2017-10-26 20:00:00,CL,5654,CL
2017-10-27 20:00:00,CL,5487,CL
2017-10-28 20:00:00,CL,5303,CL
2017-10-29 20:00:00,CL,5317,CL
2017-10-30 20:00:00,CL,5765,CL
2017-10-31 20:00:00,CL,5505,CL
2017-11-01 20:00:00,CL,5352,CL
2017-11-02 20:00:00,CL,5729,CL
2017-11-03 20:00:00,CL,5821,CL
2017-11-04 20:00:00,CL,5447,CL
2017-11-05 20:00:00,CL,5435,CL
2017-11-06 20:00:00,CL,5776,CL
2017-11-07 20:00:00,CL,5641,CL
2017-11-08 20:00:00,CL,5660,CL
2017-11-09 20:00:00,CL,5860,CL
2017-11-10 20:00:00,CL,6021,CL
2017-11-11 20:00:00,CL,5504,CL
2017-11-12 20:00:00,CL,5449,CL
2017-11-13 20:00:00,CL,5862,CL
2017-11-14 20:00:00,CL,5797,CL
2017-11-15 20:00:00,CL,5835,CL
2017-11-16 20:00:00,CL,5906,CL
2017-11-17 20:00:00,CL,5902,CL
2017-11-18 20:00:00,CL,5367,CL
2017-11-19 20:00:00,CL,5319,CL
2017-11-20 20:00:00,CL,5889,CL
2017-11-21 20:00:00,CL,5720,CL
2017-11-22 20:00:00,CL,5989,CL
2017-11-23 20:00:00,CL,5893,CL
2017-11-24 20:00:00,CL,5305,CL
2017-11-25 20:00:00,CL,5458,CL
2017-11-26 20:00:00,CL,5521,CL
2017-11-27 20:00:00,CL,5926,CL
2017-11-28 20:00:00,CL,5850,CL
2017-11-29 20:00:00,CL,5844,CL
2017-11-30 20:00:00,CL,5976,CL
2017-12-01 20:00:00,CL,6453,CL
2017-12-02 20:00:00,CL,5937,CL
2017-12-03 20:00:00,CL,5802,CL
2017-12-04 20:00:00,CL,6392,CL
2017-12-05 20:00:00,CL,6211,CL
2017-12-06 20:00:00,CL,6136,CL
2017-12-07 20:00:00,CL,5955,CL
2017-12-08 20:00:00,CL,5846,CL
2017-12-09 20:00:00,CL,5751,CL
2017-12-10 20:00:00,CL,5696,CL
2017-12-11 20:00:00,CL,6216,CL
2017-12-12 20:00:00,CL,5899,CL
2017-12-13 20:00:00,CL,6247,CL
2017-12-14 20:00:00,CL,6307,CL
2017-12-15 20:00:00,CL,6553,CL
2017-12-16 20:00:00,CL,5887,CL
2017-12-17 20:00:00,CL,5819,CL
2017-12-18 20:00:00,CL,6307,CL
2017-12-19 20:00:00,CL,6557,CL
2017-12-20 20:00:00,CL,6478,CL
2017-12-21 20:00:00,CL,6622,CL
